id,date,action_type,description,severity,category,impacted_sectors,p2025_pillar,linked_fix_id,url
EVT-2025-0120-001,2025-01-20,Executive Order,"Day One rescission of 78 Biden executive orders on climate, equity, and regulation — erasing prior administration policy in a single stroke, a core Project 2025 implementation tactic.",8,Democracy,Environment; Civil Rights; Democracy,Day One Executive Actions,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-001
EVT-2025-0120-002,2025-01-20,Executive Order,"Schedule F reinstated — civil servants in 'policy-influencing' roles reclassified as at-will employees, enabling politically motivated firings without merit protections.",10,Democracy,Democracy; Economy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-002
EVT-2025-0120-003,2025-01-20,Executive Order,"Federal hiring freeze imposed on civilian agencies, beginning workforce contraction aligned with Project 2025's plan to shrink the administrative state by attrition.",7,Economy,Economy; Democracy,Personnel & Civil Service,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-003
EVT-2025-0120-004,2025-01-20,Executive Order,Birthright citizenship order directs agencies to deny citizenship documents to U.S.-born children of undocumented parents — a direct challenge to the 14th Amendment now blocked in federal court.,10,Immigration,Immigration; Civil Rights; Democracy,Immigration Enforcement,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-004
EVT-2025-0120-005,2025-01-20,Executive Order,National energy emergency declared to expedite fossil fuel permitting and restrict renewable approvals — implementing Project 2025's deregulatory energy agenda.,9,Environment,Environment; Economy,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-005
EVT-2025-0120-006,2025-01-20,Executive Order,Department of Government Efficiency (DOGE) established with access to federal payment systems and agency data — an unprecedented extra-constitutional advisory body driving cuts.,9,Democracy,Democracy; Economy,Agency Restructuring,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-006
EVT-2025-0120-007,2025-01-20,Executive Order,All federal DEI offices terminated and employees placed on leave; equity-related contracting and training requirements rescinded across every agency.,7,Civil Rights,Civil Rights; Education,Culture & Civil Rights,FIX-ED-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-007
EVT-2025-0120-008,2025-01-20,Executive Order,"ICE directed to expand detention, resume border wall construction, and end catch-and-release — implementing Project 2025's mass deportation infrastructure goals.",9,Immigration,Immigration; Civil Rights,Immigration Enforcement,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-008
EVT-2025-0120-009,2025-01-20,Executive Order,"U.S. withdrawal from the Paris Climate Agreement initiated for a second time, halting international climate finance and undermining global emissions targets.",9,Environment,Environment,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-009
EVT-2025-0120-010,2025-01-20,Executive Order,"U.S. withdrawal from the World Health Organization initiated, ending funding and participation in global pandemic preparedness and health coordination.",8,Healthcare,Healthcare,Health & Global Affairs,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-010
